,sentence
1669,সঙ্গীত  ইন্দ্রাণী চলচ্চিত্রের সঙ্গীত পরিচালনা করেছেন নচিকেতা ঘোষ
1670,গীত রচনা করেছেন গৌরীপ্রসন্ন মজুমদার
1671,গানে কণ্ঠ দিয়েছেন গীতা দত্ত  হেমন্ত মুখোপাধ্যায়  ও মোহাম্মদ রফি
1672,ব্রাউজারের ইতিহাস  ব্রাউজারের উৎপত্তি ১৯৮০ র দশকে
1673,যুধিষ্ঠির যুধিষ্ঠির হিন্দু পৌরাণিক কাহিনি মতে– পঞ্চপাণ্ডবদের একজন
1674,অন্যান্য পাণ্ডবদের মতেই ইনিও ছিলেন পাণ্ডুর ক্ষেত্রজ পুত্র
1675,এঁর প্রকৃত পিতা ধর্ম  যম
1676,মায়ের নাম কুন্তী  কুন্তীর দ্বিতীয় পুত্র
1677,উল্লেখ্য  কুন্তীর প্রথম পুত্র ছিলেন কর্ণ  সূর্য এর ঔরসে জাত
1678,তুমি যে সময়ে স্ত্রীসংসর্গ করিবে  সেই সময়ে তোমার মৃত্যু হইবে
1679,কুন্তী প্রথম আহ্বান করেছিলেন ধর্ম দেবতাকে
1680,তার ঔরসে কুন্তীর গর্ভে যুধিষ্ঠিরের জন্ম হয়
1681,যুধি  যুদ্ধে  স্থির থাকতেন বলে  তাঁর নাম হয়েছিল যুধিষ্ঠির
1682,বিদুরের ঔরসে যে পুত্র কুন্তীর গর্ভে জন্মান সেই যুধিষ্ঠির
1683,কুরুক্ষেত্রের যুদ্ধের সময় ইনি কর্ণের হাতে প্রাণ হারান
1684,তাঁর পুত্র অঞ্জনপর্বনও তাঁর সঙ্গে যুদ্ধে অংশ নিয়েছিলেন
1685,পরবর্তীতে সপ্তম দিনে ভগদত্ত ঘটোৎকচকে দ্বৈরথ যুদ্ধে পরাজিত করেন
1686,দ্রোণ পর্ব   যুদ্ধের চতুর্দশ দিনে সূর্যাস্তের পরও যুদ্ধ চলছিল
1687,এরপর ঘটোৎকচ কৃষ্ণের নির্দেশে কর্ণকে আক্রমণ করেন
1688,তখন এর নাম ছিল সিকুয়েল
1689,অনেক সফটওয়্যার পণ্য এখন এসকিউএল কে সাপোর্ট করে থাকে
1690,বর্তমানে অবসংবাদীভাবে এসকিউএল ই আদর্শ রিলেশন্যাল ডেটাবেজ ভাষা
1691,এছাড়া ওলা ক্যাব ও উবের ক্যাব পরিষেবা আছে
1692,এই পরিষেবা বন্ধ করে মেট্রো রেল চালু করার পরিকল্পনা চলছে
1693,এটি সংবাদ ও সংবাদের বিশ্লেষণ সম্প্রচার করে থাকে
1694,২৪ ঘণ্টা ধরে এটি সংবাদ পরিবেশন করে থাকে
1695,১৯৮০ সালে টেড টার্নার এটি প্রতিষ্ঠা করেন
1696,এর মধ্যে পুরুষ ৫১   এবং নারী ৪৯
1697,এখানে সাক্ষরতার হার ৮২
1698,পুরুষদের মধ্যে সাক্ষরতার হার ৮৬   এবং নারীদের মধ্যে এই হার ৭৭
1699,এই শহরের জনসংখ্যার ৯  হল ৬ বছর বা তার কম বয়সী
1700,হিব্রু বাইবেলকে ইহুদিরা তানাখ বলে থাকে
1701,১৩টি ইউনিয়ন  ৬২টি মৌজা  ১৯৯টি গ্রাম নিয়ে বরগুনা সদর উপজেলা গঠিত
1702,অর্থনীতি  নাজগীর অাহম্মদ  বাবু
1703,যার দক্ষিণে বিস্তৃত রয়েছে বঙ্গোপসাগরের সুবিস্তৃত জলরাশি
1704,এ উপজেলার অধিবাসীদের প্রধান পেশা মৎস্য আহরণ
1705,ইতিহাস  পাথরঘাটার পূর্ব নাম বাধাঘাটা
1706,১৯০৩ সনে এ নামকরণ সূত্রপাতঘটে মর্মে ধারণা করা হয়
1707,উক্ত পাথরের কিয়দংশ এখানে রয়ে যায়
1708,সে কারণেই এলাকাটি পাথরঘাটি নামে পরিচিতি লাভ করে
1709,পরবর্তীতে পাথরঘাটি নামটি পাথরঘাটা নামে নবরূপ লাভ করে
1710,উল্লেখযোগ্য ব্যবসা প্রতিষ্ঠানের মধ্যে ছিল দর্জি ও মিষ্টির দোকান
1711,যে কারণে এ এলাকায় ডিপ টিউবওয়েল স্থাপন করা সম্ভব হয় না
1712,২২ ২৪ ফুট গভীরে পাথরের সন্ধান মেলে
1713,বামনা উপজেলা বামনাবাংলাদেশের বরগুনা জেলার অন্তর্গত একটি উপজেলা
1714,অবস্থান ও আয়তন  বেতাগী উপজেলাটি বিষখালী নদীর তীরে অবস্থিত
1715,এর আয়তন ১৬৭ ৭৫ বর্গ কি মি
1716,এই উপজেলার প্রধান নদীগুলো হচ্ছেঃ বিষখালী নদী ও গজালিয়া নদী
1717,নামকরণের ইতিহাস  বেতাগী শব্দের নামকরণের ক্ষেত্রে বিভিন্ন মত রয়েছে
1718,এমনকি তাদেরকে তামাক সেবনেও অভ্যস্ত করতো বলে জানা যায়
1719,এতে দাঙ্গা হাঙ্গামায় অনেক ইংরেজও মারা যায়
1720,এ চিঠিতে তাকে দাগী নয়  বেদাগী  অপরাধী নয়  বলে আখ্যায়িত করে
1721,সেই  বেতাগা  এর সূত্র ধরে বেতাগীর উৎপত্তি হতে পারে
1722,এখানের মানুষ প্রতিবাদী হওয়ার কারনে আরও বেশি বেত্রাঘাতের স্বীকার হত
1723,এই বেত্রাঘাত শব্দানুসারে বেতাগী নামের সৃষ্টি হয়েছে
1724,বাবুগঞ্জ উপজেলা বাবুগঞ্জ বাংলাদেশের বরিশাল জেলার অন্তর্গত একটি উপজেলা
1725,অবস্থান  বানারীপাড়ার অবস্থান
1726,মুক্তিযুদ্ধের সময় এই উপজেলার গাভায় ব্যাপক গণহত্যা পরিচালিত হয়
1727,গৌরনদী উপজেলা গৌরনদী বাংলাদেশের বরিশাল জেলার অন্তর্গত একটি উপজেলা
1728,গৌরনদীর পূর্বাঞ্চলে রয়েছে আড়িয়াল নদী
1729,আর আড়িঁয়াল খার শাখা নদী হচ্ছে পালরদী নদী
1730,এক সময় পালরদী ছিল স্রোতস্বীনি নদী
1731,এ নদীর সাথে গৌরনদীর সংযুক্ততা রয়েছে
1732,সে অনুসারে গৌড়্ওবং নদী যুক্ত হয়ে  গৌরনদী  র নামকরণ করা হয়েছে
1733,শিক্ষা  গৌরনদী উপজেলায় ১টি সরকারি কলেজ ও ৭ টি বেসরকারি কলেজ রয়েছে
1734,এখানে শিক্ষার হার ৫৯ ৪   পুরুষ ৬২ ৩   মহিলা ৫৬ ৩
1735,কৃষিভূমির মালিকানা ভূমিমালিক ৫৯ ৮৪   ভূমিহীন ৪০ ১৬
1736,শহরে ৫৪ ৯৫  ও গ্রামে ৭৫ ৮৯  পরিবারের কৃষিজমি রয়েছে
1737,হিজলা উপজেলা হিজলা বাংলাদেশের বরিশাল জেলার অন্তর্গত একটি উপজেলা
1738,জেলা সদর হতে দূরত্ব ৫০ কিঃ মিঃ
1739,এটি নদী বেষ্টিত একটি এলাকা
1740,প্রশাসনিক এলাকা  হিজলা উপজেলার আয়তন ৫১৫ ৩৬ বর্গ কিঃমিঃ
1741,হিজলা উপজেলা ৬টি ইউনিয়ন  ১২১টি গ্রাম  ১২১ মৌজা নিয়ে গঠিত
1742,কিন্তু এ মতের পক্ষে প্রমান পাওয়া যায়না
1743,এই বংশের সামান্য যাহা ছিল  উন্মাদ রাজা শিব্রাইন পুড়িয়ে ফেলেন
1744,বলবর্ধন বসুর সঙ্গে কমলা দেবীর বিবাহ হয়
1745,মেহেন্দিগঞ্জে এই পরিবারের লোকেরা প্রথমে বসতি স্থাপন করেন
1746,প্রশাসনিক এলাকা  এই উপজেলার ইউনিয়নগুলো হচ্ছে
1747,১৫৮৫ সালে তিনি চলে যান
1748,যা এখন উলানিয়া জমিদার বাড়ি নামে পরিচিত
1749,অর্থনীতি  নদীবেষ্টিত এই এলাকায় ধান  মাছ অর্থকরী ফসল
1750,এছারাও র‌য়ে‌ছে বি‌ভিন্ন ধর‌নের ফসল
1751,আমরা পান সুপা‌রি মে‌হে‌ন্দিগ‌ঞ্জের প্র‌সিদ্ধ ফসল
1752,স্থানীয় কা‌ঠের বাজারমূল্য বেশ লক্ষণীয়
1753,খ  প্রধান হাট বাজারঃ পাতারহাট  উলানিয়া বাজার  দফাদারহাট  কাজিরহাট
1754,লেংগুটিয়া মুসলিম উচ্চমাধ্যমিক বিদ্যালয়
1755,মুলাদী উপজেলা মুলাদী বাংলাদেশের বরিশাল জেলার অন্তর্গত একটি উপজেলা
1756,অবস্থান  মুলাদী ২২ ৯১৫৩° উত্তর ৯০ ৪১৫০° পূর্ব স্থানাকে অবস্থিত
1757,এখানে মূল অর্থ প্রধান আর দ্বীপ মানে ভূমি
1758,সেই থেকেই মুলাদীর নামকরণ হয়েছে বলে অনেকের ধারণা
1759,এছাড়া ধর্ম প্রচার করতে মুলাই খান নামক এক দরবেশ এতদঞ্চলে এসেছিলেন
1760,বর্তমান মুলাদী উপজেলা বিশাল বিশাল নদী বেষ্টিত দ্বীপসদৃশ একটি ভূখণ্ড
1761,পরে লোকমুখে পরিবর্তিত হয়ে মুলাদী নাম ধারণ করা অস্বাভাবিক নয়
1762,১৯৮৩ সালে থানাকে উপজেলায় রূপান্তর করা হয়
1763,এটি অন্যান্য ক্যারিবীয় অঞ্চলের মত নয়
1764,এর আছে শুষ্ক জলবায়ু  ক্যাকটাস ছড়ানো স্থলভূমি
1765,এটির মোট ভূমির পরিমাণ ১৯৩ বর্গকিলোমিটার
1766,ভূগোল  আরুবা দ্বীপটি প্রায় পুরোই সমতল
1767,এখানে কোনো নদী নেই
1768,দ্বীপটির অভ্যন্তরের অংশে কিছু ক্ষুদ্র পাহাড় রয়েছে
1769,রাজধানী ওরাঞ্জেস্টাড এ অবস্থিত
1770,আরুবার আবহাওয়া নাতিশীতোষ্ণ এবং আরামপ্রদ
1771,এখানে তাই সারা বছর ধরেই পর্যটকেরা ভ্রমণে আসে
1772,এখানকার তাপমাত্রা ২৮ ডিগ্রি সেলসিয়াস থেকে অল্পই বাড়ে বা কমে থাকে
1773,সিটিসেল সিটিসেল বাংলাদেশের প্রথম সিডিএমএ মোবাইল অপারেটর
1774,১৯৮৯ খ্রিস্টাব্দে এটি বাংলাদেশে কার্যক্রম শুরু করে
1775,এটিই বাংলাদেশের একমাত্র সিডিএমএ মোবাইল অপারেটর
1776,আগষ্ট ২০১১ এর হিসাব অনুযায়ী সিটিসেলের গ্রাহক সংখ্যা ১ ৭৭৮ মিলিয়ন
1777,২০০৭ সালের শেষের দিকে সিটিসেল নতুন লোগো উন্মোচন করে
1778,এ সময় এর গ্রাহক সংখ্যা ছিল ৬ লাখের কিছু বেশী
1779,কিন্তু ৬ নভেম্বর সিটিসেলের তরঙ্গ আবার খুলে দেওয়া হয়
1780,নাম্বারের ধরণ  সিটিসেল এর নাম্বার শুরু হয়  ০১১  দিয়ে
1781,যেমন ০১১ ১২৩৪৫৬৭৮
1782,আছে অনেক গ্রাহক সেবা কেন্দ্র পয়েন্ট
1783,মোবাইল ফোন  বাংলাদেশে বর্তমানে ৬টি মোবাইল ফোন কোম্পানি আছে
1784,স্থানীয়ভাবে এটি পিজি হাসপাতাল নামেই বহুল ব্যবহৃত পরিচিত
1785,এর প্রতিষ্ঠাতা উপাচার্য ছিলেন অধ্যাপক কাদরী
1786,এটি একটি সরকারী বিশ্বদ্যিালয়
1787,মাদুর শিল্পের জন্য এ উপজেলা প্রসিদ্ধ
1788,এ উপজেলার নশরতপুর ইউনিয়নের শাঁওইল বাজার তাঁত শিল্পের জন্য বিখ্যাত
1789,প্রতি কিলোমিটারে জনসংখ্যার ঘনত্ব ১ ১০৮ জন
1790,আদমদিঘী উপজেলার মোট ভোটার সংখ্যা ১ ৩১ ৯১৬ জন
1791,এর মধ্যে পুরুষ ভোটার ৬৪ ৬০৭ জন ও মহিলা ভোটার ৬৭ ৩০৯ জন
1792,এছাড়া সরকারি কলেজ রয়েছে ১টি সান্তাহার সরকারি কলেজ
1793,অর্থনীতি  আদমদীঘির অর্থনীতির প্রধান বিষয় মৎস্য বেবসা
1794,এখানে রেনু পোনা বিক্রয়ের জন্য নামকরা
1795,প্রাচীন পুন্ড রাজ্যের রাজধানী পুন্ডবর্ধন হচ্ছে বগুড়া
1796,জেলা সদর হতে দূরত্ব ০৭ কিঃ মিঃ
1797,উপজেলার আয়তন ১৭৭ ৩৪ বর্গ কিলোমিটার
1798,তার নামানুসারে এ অঞ্চলের নাম হয়েছে বগড়া বা বগুড়া
1799,বগুড়া সদরে ২৫ টি ইউনিয়ন বা ওয়ার্ড আছে
1800,৩১০ টি মৌজা বা মহল্লা আছে
1801,সর্বমোট ৩৪১টি গ্রাম আছে
1802,সংসদীয় এলাকা ৪১ বগুড়া ৬   বগুড়া সদর
1803,ইউনিয়নের সংখ্যা ১১টি
1804,পৌরসভা ০১টি   বগুড়া পৌরসভা  ক  শ্রেণিভূক্ত
1805,ধুনট উপজেলা ধুনট বাংলাদেশের বগুড়া জেলার অন্তর্গত একটি উপজেলা
1806,প্রশাসনিক এলাকা  এই উপজেলায় ১০টি ইউনিয়ন রয়েছে
1807,ইউনিয়নগুলো হলো  ১১  ধুনট পৌরসভা
1808,এটি বাংলাদেশের জাতীয় সংসদের বগুড়া ৩ আসনের অন্তর্গত
1809,এর পূর্ব পাশ দিয়ে নাগর নদী বয়ে গেছে
1810,দুপচাঁচিয়া বগুড়া জেলার অন্যতম বড় একটি উপজেলা
1811,প্রশাসনিক এলাকা  দুপচাঁচিয়া পৌরসভা ২০০০ সালে প্রতিষ্ঠা লাভ করে
1812,যা নয়টি ওয়ার্ড ও আটত্রিশটি মহল্লার সমন্বয়ে গঠিত
1813,পোস্ট অফিস আছে ১১ টি
1814,যার ১ ৬০ ৮৯৪ জন পুরুষ ও ১৭৯ ২৯০ জন নারী
1815,প্রতি কিলোমিটারে জনসংখ্যার ঘনত্ব ৯৯০ জন
1816,দুপচাঁচিয়া উপজেলার মোট ভোটার সংখ্যা ১ লাখ ২৫ হাজার ৬৮৯ জন
1817,এর মধ্যে পুরুষ ভোটার ৬১ হাজার ৮১৯ জন ও মহিলা ভোটার ৬৩ হাজার ৮৭০ জন
1818,গাবতলীকে ১৯৮৩ সালে উপজেলায় উন্নিত করা হয়
1819,এটি বগুড়া ৭ সংসদীয় আসনের অধীন
1820,উপজেলার মোট জনসংখ্যার মধ্যে ১ ৫৯ ১৮৬জন পুরুষ এবং ১ ৬০ ৪০২ জন মহিলা
1821,প্রতি বর্গ কিলোমিটার জনসংখ্যা ঘনত্ব ১৩৩৪ জন
1822,জনসংখ্যা বৃদ্ধির হার ১০ ১৩
1823,বিদ্যুৎ  উপজেলার ১১ টি ইউনিয়নেই বিদ্যুৎ সুবিধা বিদ্যামান
1824,মোট জনসংখ্যার ৪৬ ২  লোক বিদ্যুৎ সুবিধার আওতায় আছে
1825,যোগাযোগ ব্যবস্থা  উপজেলার প্রধান যোগাযোগ এর মাধ্যম সড়ক পথ
1826,রয়েছে দুটি রেলওয়ে স্টেশন  গাবতলী ও সুখানপুকুর
1827,উপজেলায় মোট ১০ টি কলেজ রয়েছে
1828,এর মধ্যে পুরুষ   ৮৫ ৬৮০ জন এবং মহিলা   ৮২ ৪৬৫ জন
1829,লোক সংখ্যার ঘনত্ব প্রতি বর্গকিলোমিটারে ৬৩৩ জন
1830,শিক্ষা  শিক্ষার গড় হার ৪২ ২   পুরুষ ৪৮ ৪   মহিলা ৩৫ ৭
1831,অর্থনীতি  সাধারনত কৃষিনির্ভর অথনীতি বিদ্যমান
1832,এখানে বেশি ভাগ লোক কৃষক
1833,কাহালু উপজেলা কাহালু বাংলাদেশের বগুড়া জেলার অন্তর্গত একটি উপজেলা
1834,কাহালু উপজেলা বাংলাদেশের একটি প্রাচীন ঐতিহ্যবাহি ও ব্যবসায়িক জনপদ
1835,অবস্থান  বগুড়া জেলা সদর হতে ১২ কি মি পশ্চিমে এই উপজেলার অবস্থান
1836,প্রশাসনিক এলাকা  কাহালু উপজেলার ইউনিয়নের সংখ্যা ০৯টি
1837,এখান থেকে তিনি ইসলাম ধর্ম প্রচার করতে থাকেন
1838,যার ১ ১০ ০০০জন  প্রায়  জন পুরুষ ও ১ ০৯ ০০০জন  প্রায়  জন নারী
1839,প্রতি কিলোমিটারে জনসংখ্যার ঘনত্ব ৯১৭জন
1840,কাহালু উপজেলার মোট ভোটার সংখ্যা ১ ৪৬ ৭৮৬ জন
1841,এর মধ্যে পুরুষ ভোটার ৭১ ৫০১ জন ও মহিলা ভোটার ৭৫ ২৮৫ জন
1842,শিক্ষা  কল্যাপাড়া আনোয়ারুল উলুম ফাজিল মাদ্রাসা
1843,এটি বগুড়া জেলার সবচেয়ে বড় উপজেলা
1844,এটা তার প্রশাসনিক কেন্দ্রের নাম অনুযায়ী শেরপুর শহরের নামকরণ করা হয়
1845,শেরপুর একটি প্রাচীন নাম
1846,হিউয়েস্থ সাংঘ কর্তৃক উল্লেখিত সেই নদীটিই যে আজকের করতোয়া নদী
1847,পূর্বে এটি ছিল ধনে জনে পরিপূর্ণ এক বিশাল নগরী
1848,এ নদী দিয়ে বাণিজ্য তরী মালায় সিংহল  সুমাত্রার উদ্দেশ্যে যাত্রা করতো
1849,তেমনি এর বিশাল ঘাটে এসে ভিড়তো ভিন দেশের রকমারি বাণিজ্য তরী
1850,কিন্তু রাজধানী পৌন্ড্রবর্দ্ধনেই থেকে যায়
1851,শেরপুর নাম করনের পেছনে রয়েছে মজবুত ঐতিহাসিক ভিত্তি
1852,অধুনা শেরপুর অপেক্ষা প্রাগৈতিহাসিক শেরপুর ছিল সর্বাধিক সুপ্রসিদ্ধ
1853,নাম করনের পূর্বেও এ স্থানটি তার নিজস্ব মহিমায় ছিলমূর্তমান
1854,এটি আয়তনের দিক দিয়ে বগুড়া জেলার বৃহত্তম উপজেলা
1855,অবস্থান  এটি বগুড়া শহর থেকে উত্তর পশ্চিম দিকে অবস্থিত
1856,এর মোট আয়তন প্রায় ৩১৫ ৩৩ বর্গ কিলোমিটার
1857,বগুড়া জেলা শহর হতে ১৯ কিমিঃ উত্তরে গাংনই নদীর তীরে অবস্থিত
1858,অবশ্য শিবগঞ্জ মূল করতোয়া নদীর তীরে অবস্থিত
1859,সে সময় এ এলাকায় হিন্দুদের পুজাপার্বনের জন্য অসংখ্য শিবমন্দির ছিল
1860,শিবমন্দিরকে কেন্দ্র করে বন্দর গঞ্জ গড়ে উঠে
1861,যার ফলশ্রূতিতে পরবর্তীতে এ উপজেলার নাম হয় শিবগঞ্জ
1862,যার ২ ০২ ৩৮৬ জন  প্রায়  জন পুরুষ ও ২ ২৫ ৫২৭ জন  প্রায়  জন নারী
1863,প্রতি কিলোমিটারে জনসংখ্যার ঘনত্ব ১ ৮৪৮ জন
1864,বালু আটা তখন ঝোপঝাড় ও বড় বড় জাংগালে পূর্ন ছিল
1865,জনসংখ্যার উপাত্ত  সোনাতলা উপজেলার মোট জনসংখ্যা ১ ৬৭ ৫৪৭ জন
1866,এর মধ্যে পুরুষঃ ৮৫ ৮৬২ জন এবং মহিলাঃ ৮২ ৩৪১ জন
1867,শিক্ষা  শিক্ষার গড় হার ৩৭ ৯   পুরুষ ৪৩ ৩   মহিলা ৩২ ৩
1868,নাটোর সদর উপজেলা নাটোর সদর বাংলাদেশের নাটোর জেলার অন্তর্গত একটি উপজেলা
1869,প্রশাসনিক এলাকা  নাটোর সদরের আয়তন ৪০৭ ২৯ বর্গ কি মি
1870,নাটোর থানা স্থাপিত হয় ১৭৯৩ সালে এবং উপজেলাতে রূপান্তরিত হয় ১৯৮৪ সালে
1871,১৮৬৯ সালে নাটোর পৌরসভা স্থাপিত হয়
1872,নাটোর পৌরসভার আয়তন ১৫ ০৫ বর্গ কি মি
1873,জনসংখ্যার উপাত্ত  সদরের জনসংখ্যা আনুমানিক ৪ লক্ষ  ২০০১ আদমশুমারি
1874,অর্থনীতি  জেলার প্রধান উৎপাদিত ফসল হলো ধান
1875,এছাড়াও এখানে গম  ভূট্টা  আখ  পান ইত্যাদি উৎপাদিত হয়
1876,বিলুপ্তপ্রায় ফসল নীল  বোনা আমন ও আউশ ধান
1877,এখানে বেশ কয়েকটি ভারি শিল্প রয়েছে
1878,এই পাটনীর নামানুসারেই এই জায়গার নাম গুরুদাসপুর হয়েছে
1879,তন্মধ্যে  পুরুষ ৯১০৭১ ও মহিলা ১০৩১৫৭ জন
1880,শিক্ষা  স্বাক্ষরতার হার ৩৪ ৯১
1881,পুরুষ ৩৯ ৬১   মহিলা ৩০ ০১
1882,এটি বাংলাদেশ প্রত্নতত্ব বিভাগের আওতাধীন
1883,অর্থনীতি  প্রধানত কৃষি
1884,মোট আবাদযোগ্য জমি ১৮১০০ হেক্টর
1885,পতিত জমি ৭৭১ হেক্টর
1886,বিলুপ্ত অথবা প্রায় বিলুপ্ত ফসল তামাক  পাট এবং তিল
1887,পশু হাসপাতাল ১ টি
1888,লালপুর উপজেলা লালপুর বাংলাদেশের নাটোর জেলার অন্তর্গত একটি উপজেলা
1889,মুগল আমলে এখানে লালখান নামে একজন খুব গুরুত্বপূর্ণ ব্যক্তি বসবাস করতেন
1890,ধারণামতে তার নামানুসারেই এই উপজেলার নাম লালপুর হয়েছে
1891,জনসংখ্যা ২৪২৬৪৫  পুরুষ ১২৫৭৯০  মহিলা ১১৬৮৫৫
1892,মুসলিম ২২৭৫৩৩  হিন্দু ১৪৪৮৭  বৌদ্ধ ৪৩৪  খ্রিস্টান ১ এবং অন্যান্য ১৯০
1893,শিক্ষা  শিক্ষার গড় হার ৬০   পুরুষ ৬৫   মহিলা
1894,কৃষিভূমির মালিকানা ভূমিমালিক ৫৪ ০৫   ভূমিহীন ৪৫ ৯৫
1895,শহরে ৪৫ ০৫  এবং গ্রামে ৫৫ ১৭  পরিবারের কৃষিজমি রয়েছে
1896,প্রধান কৃষি ফসল ধান  পাট  গম  আখ  তুলা  তৈলবীজ  ডাল  শাকসবজি
1897,বিলুপ্ত বা বিলুপ্তপ্রায় ফসলাদি যব  কাউন  অড়হর  তুঁত
1898,প্রশাসনিক এলাকা  এই উপজেলার ১২টি ইউনিয়ন রয়েছে
1899,অন্য নাম গুয়া
1900,এর গোলাকৃতি পাথরশক্ত বীজ পানের মশলায় কুচি করে দেওয়া হয়
1901,এর গাছ  betel palm  পাম গোত্রের
1902,সুপারি বাংলাদেশের একটি অন্যতম প্রধান অর্থকরী ফসল
1903,নাটকটি ঢাকা শহরে বসবাসকারী একটি মধ্যবিত্ত পরিবারের গল্প বলে
1904,ছোট মেয়েটির মৃত্যু পুরো দেশে একটা আলোড়ন তোলে
1905,অনেকেই হুমায়ূন আহমেদকে  টুনি  চরিত্রটিকে বাঁচিয়ে রাখার অনুরোধ করেন
1906,কিন্তু হুমায়ূন আহমেদ তাঁর সিদ্ধান্তে অটল থাকেন
1907,ইতিহাস  এই ব্যাংকটি ২০১৩ সালের ১ এপ্রিল প্রতিষ্ঠিত হয়
1908,গ্রান্দের সঙ্গীত কর্মজীবন শুরু হয়    ২০১২  সাউন্ডট্রাকের মাধ্যমে
1909,অ্যালবামটি  বিলবোর্ড  ২০০ এর তালিকার দ্বিতীয় স্থানে অবস্থান করে
1910,তার নামটি রাখার পেছনে তারা উৎসাহ পেয়েছিল   প্রিন্সেস ওরিয়ানা থেকে
1911,গ্রান্দে ইতালীয় বংশোদ্ভূত
1912,তিনি ভর্তি হন পাইন ক্রেস্ট স্কুল ও নর্থ ব্রোর্য়াড প্রিপেরেটরি স্কুলে
1913,তিনি ১২ বছর বয়স থেকেই তিনি এবং তার ভাই কাব্বালার শিক্ষা অনুসরন করেছেন
1914,গ্রান্দে সামাজিক যোগাযোগের মাধ্যম গুলোতে ব্যাপক হারে অনুসরিত হন
1915,তিনি সাতটি বিলবোর্ড মিউজিক অ্যাওয়ার্ডস মনোনয়ন পেয়েছেন
1916,বাম্বি পুরস্কারে তিনি সেরা নবাগতের জন্য পুরস্কার পান
1917,তিনি ছয়টি টিন চয়েস অ্যাওয়ার্ডস জিতেছেন
1918,ছবিটি প্রযোজনা করে ইমপ্রেস টেলিফিল্ম
1919,পুরো চলচ্চিত্রটি চিত্রায়িত হয়েছে নুহাশ পল্লীতে
1920,কাহিনী সংক্ষেপ  বৃষ্টিবিলাসে একা থাকেন সোবহান সাহেব
1921,অঢেল সম্পত্তির মালিক তিনি
1922,বাড়ির সামনে আছে চিড়িয়াখানা  পুকুর  পাহাড়  টিলা
1923,সবুজ গাছগাছালিতে ঘেরা চারপাশ
1924,কিন্তু এই জায়গায় সোবহান সাহেবের ছেলেমেয়েদের কেউ থাকেন না
1925,দুই মেয়ে আর এক ছেলে সবাই থাকে ঢাকায়
1926,কদাচিৎ বেড়িয়ে আসে সোবহান সাহেবের কাছে
1927,ম্যানেজারকে ডেকে পরামর্শ চান
1928,সমুদ্রপৃষ্ঠ থেকে এই দুর্গের উচ্চতা প্রায় ২৯০০ মিটার
1929,এর অবস্থান একটি পর্বতপৃষ্ঠের উপর
1930,এর দৈর্ঘ্য প্রায় ৬০০ মিটার ও প্রস্থ ১১০ মিটার
1931,১৮৪৩ খ্রিস্টাব্দে এই দুর্গটির ধ্বংসস্তূপ পুনরাবিষ্কৃত হয়
1932,একমাত্র যেদিকে এর খাড়া পাহাড় নেমে গেছে  সে দিকে এই প্রাচীর অনুপস্থিত
1933,এইসব স্তরগুলিতে মোট ৫৫০টি নির্মাণের অবশেষ আবিষ্কৃত হয়েছে
1934,মাত্র ৫টি বাদে  যেগুলি কিছুটা চৌকোনা  এগুলির সবগুলিই গোলাকৃতি
1935,এদের মধ্যে ৩০০ থেকে ৪০০টি পৃথক পৃথক বাড়ি বলে ধারণা করা হয়ে থাকে
1936,বাড়িগুলি ছিল গোলাকৃতি  যাদের শুধুমাত্র ভিতটুকুই এখন অবশিষ্ট আছে
1937,এর ভেতরে প্রবেশের জন্য মাত্র দু টি সঙ্কীর্ণ প্রবেশপথ দেখতে পাওয়া গেছে
1938,হাঁস  বটলনোজ ডলফিন  শিম্পাঞ্জিদের ক্ষেত্রে এরকমটা দেখা যায়
1939,এরকম আচরণকে  বলপ্রযুক্ত যৌন সম্পর্ক   forced copulations  বলা হয়
1940,প্রাণীজগতে এই জোড়পূর্বক যৌন সম্পর্কের পর্যবেক্ষণটি বিতর্কিত নয়
1941,শেষোক্তটিতে নারীকে দমনের জন্য বল প্রয়োগের প্রয়োজন হয়
1942,নারীরা তাই সঙ্গী নির্বাচনের ক্ষেত্রে বেশি খুঁতখুঁতে হয়
1943,চতুর্থ ধরণটি হল সাইকোপ্যাথিক ধর্ষক
1944,এগুলো আমাদের দেখায়  প্রকৃতিতে যা পাওয়া যায় তা সবসময় ভাল হয় না
1945,দ্বিতীয়ত  আরও সাম্প্রতিক গবেষণা এই প্রকল্পকে সমর্থন করেনি
1946,তিনি ময়মনসিংহ গীতিকার  দেওয়ানা মদিনা  পালাটির রচয়িতা
1947,আর্জেন্টিনা  ডায়াজ লোজানো  তাঁর ছদ্মনাম
1948,জন্মকালীন তাঁর নাম ছিল আর্জেন্টিনা বুসো মেজিয়া
1949,তিনি মহিলা সাংবাদিক ও ঔপন্যাসিক ছিলেন
1950,নারীবাদী বিষয়কে উপজীব্য করে আবেগপ্রবণ ধাঁচে উপন্যাস লিখতেন
1951,তাঁর সাহিত্যকর্মের জন্য অগণিত পুরস্কার লাভ করেছেন
1952,একাডেমিয়া হন্ডুরেনা ডে লা লেঙ্গুয়ায় অধ্যয়ন করেছেন
1953,১৯২৯ সালে তিনি পোরফিরিও ডায়াজ লোজানোর সাথে পরিণয়সূত্রে আবদ্ধ হন
1954,তাঁর পারিবারিক নামকেই সাহিত্যকর্মে নিজের নামের সাথে যুক্ত করেন
