,Inflected_sentences
5399,তাই পায়ে গুলি খেয়েছে
5400,রুটি এবং তাড়ী
5401,আকস্মিক সাফল্য
5402,আমি সার্ভারের তালায় আছি
5403,যদি তা না হয়  লোক কি ভাবুক আপনি চান
5404,হ্যাঁ  আমি জানি  ড্রাকুলার কন্যা
5405,দূর্গা মোহন দাশ
5406,কী যা তা বলছেন
5407,এটা একটা বার্তা
5408,কমান্ড ব্যর্থ
5409,সাত বছর বয়সে  আমার মূত্রনালীর অপারেশন হয় আর এই অপারেশনের মাধ্যমে মূত্র বের হওয়ার এক কৃত্রিম রাস্তা তৈরি করা হয়
5410,আমি তার একমাত্র নাতনী
5411,প্রচুর পরিমাণ
5412,এই ঠিকানা বইয়ের ব্যাক এন্ড দ্বারা অনুসন্ধান সংক্রান্ত তথ্য পার্স করতে সমস্যা
5413,তবে  ক্যাডেটদের বিজ্ঞান বিভাগে পড়ার জন্য উত্সাহিত করা হয়
5414,দেয়াল ষোল শতকের ট্যাপেস্ট্রি আর কয়েকটা ধর্মীয় চিত্রকর্ম ঝুলছে
5415,এ সমস্ত পান্ডুলিপি হতে কোন কোন শাসকের নাম পাওয়া যায়  তবে এগুলি কোন বৌদ্ধবিহারে লিখিত  চিত্রিত বা উৎসর্গীকৃত হয়েছিল তা প্রায়ই অজানা রয়ে গেছে
5416,যিহোবা আমাদের বাইবেল দিয়েছেন কারণ তিনি আমাদের অনেক ভালোবাসেন
5417,গতিশক্তি রহিত
5418,এই মেষপালক  বাদক  ভাববাদী ও রাজা যিহোবা ঈশ্বরের ওপর পুরোপুরি নির্ভর করেছিলেন
5419,বর্ধিতাংশ  তে উপস্থিত নয়
5420,হকার
5421,রাষ্ট্রে বিষাক্ত এবং ক্ষতিকর পরিবেশ সংক্রমণের জন্যে আমরা জনাব রডরিগো রাতো প্রধান থাকাকালীন ব্যাংকিয়া র ব্যবস্থাপনা পর্ষদের সদস্যদের এবং অর্থনৈতিক ও সঞ্চয় ব্যাংকের ব্যবস্থাপনা পর্ষদের বিরুদ্ধে ফৌজদারি এবং দেওয়ানি ব্যবস্থা গ্রহণ করবো
5422,তাদের মধ্যে একজন মা একটি লেখা ধরেছিল  আজ অনশনের চতুর্থ দিন কিন্তু আমরা কোন জবাব পাচ্ছি না
5423,সালাম  মো  আবদুস বাংলা বিভাগ  মুক্তিযুদ্ধ আদর্শ কলেজ  কিশোরগঞ্জ
5424,সাধারণত লালন সাঁইয়ের মাযারকে সামনে রেখে খেলাফতের সাদা কাপড় পরিয়ে লালন সমাধিকে সাতবার প্রদক্ষিণের রীতি এ খেলাফতের অনুষ্ঠানে পালিত হয়
5425,ক্রমোচ্চ
5426,যদি সেই বিয়ে একজন বিচারক বা কোনো সরকারি কর্মকর্তার দ্বারা পরিচালিত এক সরকারি বিয়ে হয়ে থাকে  তা হলে সেখানে যোগ দেওয়ার অর্থ হয়তো শুধুমাত্র আইনগত বিষয়ের সাক্ষি হওয়া
5427,আদিপুস্তক       তাই  কিছু লোক অন্যদের উপদ্রব বা নির্যাতন করে আনন্দ পায়
5428,থেকে      সাল পর্যন্ত তিনি পূর্ব পাকিস্তানের শিক্ষামন্ত্রীর দায়িত্ব পালন করেন
5429,শারদা  অর্চনা ও শোভনা দুটি ভিন্ন ভাষার চলচ্চিত্রে অভিনয় করে এই পুরস্কার লাভ করেন
5430,শিল্প ও কলকারখানা ধানকল  ময়দাকল  বরফকল  হোসিয়ারী শিল্প  ওয়েল্ডিং কারখানা
5431,টুইটার ব্যবহারকারী  ছায়াপথ মূল্য বৃদ্ধিকে সমর্থন করেনঃ
5432,তাহলে শুধু শুধুই আমি আমার বন্ধুটাকে মারলাম
5433,ক্যারোলিন সু জোন্স  ইংরেজি      শে এপ্রিল         রা আগস্ট       ছিলেন একজন মার্কিন অভিনেত্রী
5434,বেশ কয়েকবার জলপথে পৃথিবী ভ্রমণের পর    বছর বয়সে তাঁকে কাপ্তানের দায়েত্ব দেয়া হয়  এবং তিনি ফ্লোরেন্স সি রবিনসন নামে একটি জলতরীতে      সালে ম্যাসাচুসেটস থেকে       মেইল পাড়ি দিয়ে তাহিতি পৌঁছেন
5435,আমার স্বপ্নগুলো ছড়িয়ে দিতে পারি  আমার ভুলগুলো শোধরাতে পারি
5436,আমার কোন অভিজ্ঞতা  কারিশমা নেই  বা কোন খাতা নেই যেখানে আন্তর্জাতিক প্রতিষ্ঠানের উচ্চ পর্যায়ের লোকের ফোন নম্বর থাকবে  কিন্তু আমি এটা করবো
5437,আমার সাথে আসুন
5438,ঐ জম্বিদের অন্যদিকে ব্যস্ত রাখতে হবে যতক্ষণ না আমি কাইয়ের আঙ্গুলে ওয়াক্সি ফিঙ্গার মুভ ব্যবহার করছি
5439,ডিসেম্বর মুক্তিযোদ্ধারা পাকসেনা বহনকারী   টি ট্রাক ধ্বংস করে এবং    জনকে হত্যা করে
5440,পরিবর্তে  প্রত্যেকটি মণ্ডলীতে থাকবে প্রাচীন বা অধ্যক্ষের গোষ্ঠী  যারা যিহোবার সাক্ষীদের পরিচালক গোষ্ঠীর দ্বারা নির্বাচিত হবে
5441,হ্যাঁ  সেই নির্বাসিত ব্যক্তিদের যখন সিয়োনের কথা মনে পড়ত  তখন তারা কাঁদত  যিহোবাকে তারা ভুলে যায়নি
5442,বিবর্তনীয় মনোবিজ্ঞানের সাম্প্রতিক আবিষ্কার থেকে আমরা জানতে পারি  আমাদের এখনকার সামাজিক আচার আচরণ এবং মানসিক প্রবণতার অনেক কিছুই আসলে তৈরি হয়েছিল কৃষিভিত্তিক সমাজেরও আগের সেই লম্বা সময়টাতে
5443,অচৈতন্য
5444,সবদিক বিবেচনা করে আমি ভাবতাম ডেভিড হ্যাসেলহফ আমার বাবা ছিল
5445,উন্নয়নসাধন করা
5446,প্রদর্শনী
5447,আশীর্বাদগুলো  প্রতিদ্বন্দ্বিতাগুলো সত্ত্বেও  আমরা যখন পরিচর্যায় নিবিষ্ট থাকি  তখন ভাবী পরীক্ষাগুলোকে সফলভাবে মোকাবিলা করার জন্য আমরা শক্তিশালী হই
5448,বাংলাদেশে    শতাংশ মানুষই বাংলা ভাষাভাষী  তবে বাংলা ছাড়াও এখানে   টি ভিন্ন ভিন্ন ভাষা ও সংস্কৃতি রয়েছে
5449,বিদেশী নাগরিক  যারা জাপানে আসে তারা প্রায় খুব কম সময়ে স্মার্ট ফোন সংক্রান্ত কোন পরিকল্পনা নিয়ে আসে  কাজে ওয়াইফাই এলাকা পাওয়া জাপানে একটা বড় চ্যালেঞ্জ  জাপান ভ্রমণের পরিকল্পনার সময়  কোথায় ওয়াই ফাই এলাকা পাওয়া যাবে সেটাই পর্যটকদের এক সাধারণ প্রশ্ন
5450,বকুনি দেওয়া
5451,আমি আমার সমাজবিজ্ঞানের পড়া শেষ করতে
5452,বহির্ভাগ
5453,পৃষ্ঠার চিত্রগুলো
5454,আমি কিছুই করিনি  ফোনটা পকেটে রাখতে রাখতে বলল এডমন্ড
5455,এক্ষেত্রে বস্তিবাসী বা যৌনকর্মীদের মানবাধিকার প্রতিষ্ঠার আন্দোলনের কথা বলা যায়  বেসরকারি মানবাধিকার সংস্থাগুলোর বেশিরভাগ সামরিক শাসকদের শাসনকালে জন্মলাভ করার ফলে জাতীয় সামরিক বাহিনীর বিরোধিতাকারী শক্তি হিসেবেই বেশিরভাগ সময় কাজ করে এবং বহুজাতিক কোম্পানিসমূহ কর্তৃক যে মানবাধিকার লঙ্ঘন হয় তা মানবাধিকার সংস্থা কর্তৃক অনেকটা উপেক্ষিত থেকে যায়
5456,চলুন সোজাসুজি কিছু ব্যাপার জেনে নেয়া যাক
5457,দেত্তয়া
5458,তুমি আমাকে কতটা পাষাণ ভাবো
5459,এ সভায় নওয়াব হাবিবুল্লাহ সভাপতিত্ব করেন
5460,জলবায়ু ন্যায় বিচারের জন্য    সেপ্টেম্বর তারিখে যারা পদযাত্রা কর্মসূচী পালন করেছেন  তাদের সাথে আমরাও একাত্মতা ঘোষণা করেছি  ছবি স্বত্বঃ ফেন্টন লুটুনাটাবুয়া
5461,তার বোন রাজনৈতিক কর্মী মোনা সেইফ কেবল  আলা বের হয়েছে  টুইট করার পর টুইটারে এই খবরটি ছড়িয়ে পড়ে
5462,তড়িৎ প্রকৌশল বা ইলেকট্রিক্যাল ইঞ্জিনিয়ারিং  প্রায়শ তড়িৎ ও ইলেকট্রনিক প্রকৌশল বা ইলেক্ট্রিক্যাল অ্যান্ড ইলেকট্রনিক ইঞ্জিনিয়ারিং নামে অভিহিত  প্রকৌশল পেশার একটি প্রধান শাখা যা মূলত তড়িৎ ইলেকট্রনিক্স ও তড়িচ্চুম্বকত্ব নিয়ে কাজ করে
5463,যার ইতিবাচক প্রভাব পড়বে দ্রব্যমূল্যে
5464,সেগুলোকে কার্যকরী উপায়ে ব্যবহার করতে শেখার জন্য অন্যদের কাছে সাহায্য চাইতে লজ্জা পাবেন না
5465,অশোক রাজপথ              হল ভারতের বিহার রাজ্যের রাজধানী পাটনা শহরের একটি রাস্তা
5466,বাস্তবিকপক্ষে এটার ব্যবহার পৌত্তলিক ধর্মের ইঙ্গিত দিয়েছিল
5467,আদিপুস্তক বইয়ের প্রায়   টা অধ্যায়ে অব্রাহামের জীবনী সম্বন্ধে আলোচনা করা হয়েছে
5468,ছন্দবর্জিত
5469,সিঙ্গাপুর
5470,য়   মিচেল অরেঞ্জ   দ্য ভিলেজ ভয়েস
5471,দেখলে  বলেছিলাম না আমার হাত না ধরতে       আমাকে আর স্পর্শ কর না
5472,অপ্রত্যাশিত বাধা
5473,আমার বন্ধুর স্ক্রু ঢিলে হয়ে গিয়েছিল
5474,সীমাবদ্ধ
5475,আদিবাসি মঙ্গল
5476,আপনি যখন এই সাইট ভিজিট করবেন অথবা আমাদের কাছে ই মেইল পাঠাবেন  তখন আসলে ইলেকট্রনিক মাধ্যমে আমাদের সাথে যোগাযোগ করছেন  সেইসাথে আপনি আমাদের পক্ষ থেকে একই মাধ্যমে যোগাযোগের ব্যাপারে সম্মতি দিচ্ছেন
5477,অজ্ঞাত মোড একটি ঐচ্ছিক মোড যাতে  চ্যাটেের মেয়াদ উত্তীর্ণ  ব্যক্তিগত সূচনাসমূহ  এবং এন্ড থেকে এন্ড সঙ্কেতায়ন  এনক্রিপশন  ব্যবহার করে  এনক্রিপশনটি  ওপেন হুইস্পার সিস্টেম  সংকেত প্রোটোকল ব্যাবহার করে যেটি সংকেত অ্যাপ্লিকেশনে পুর্বেই ব্যাবহৃত করা হয়েছে
5478,অবরোধকারী এবং অবরোধবিরোধী দলের মধ্যে সংঘর্ষে যখন সাধারণ মানুষও মার খাচ্ছিল তখন ফটোগ্রাফার ও টিভি ক্যমেরা তাদের না বাঁচিয়ে ছবি তুলে যাচ্ছিল
5479,স্নিগ্ধ
5480,ফিরে যাও
5481,আকৃতি
5482,মথি           যিশু যখন তার শিষ্যদেরকে প্রচার করতে পাঠিয়েছিলেন  তখন তিনি তাদেরকে বলেছিলেন   পীড়িতদিগকে সুস্থ করিও  মৃতদিগকে উত্থাপন করিও  কুষ্ঠীদিগকে শুচী করিও  ভূতদিগকে ছাড়াইও  তোমরা বিনামূল্যে পাইয়াছ  বিনামূল্যই দান করিও
5483,রাশিয়া  আন্ত দেশীয় বিয়ে
5484,হেইনরিখ হ্যারার রচিত  তিব্বতে সাত বছর  বইয়ের      সালের সংস্করণের ভূমিকায় পিটার ফ্লেমিং একজন পশ্চিমা হয়েও দালাই লামার সাথে চার্লস বেলের ঘনিষ্ঠ সম্পর্ককে আশ্চর্যজনক বলে মন্তব্য করেন
5485,প্রবণ হইয়া
5486,রাজ্যের সকল নাগরিকের জন্য সার্বজনীন ভোটাধিকার স্বীকৃত
5487,এই সার্টিফিকেটটি নিম্নলিখিত কাজের জন্য অনুমোদিত হয়েছে
5488,গুগলপ্লেক্স গুগল ও আলফাবেট ইংকের কর্পোরেট সদরদপ্তর কমপ্লেক্স
5489,লুকানো
5490,যিহোবার কাছ থেকে আসা সত্যের এই মূল্যবান আলো আমরা কীভাবে প্রতিফলিত করি     করি
5491,আকস্মিক অগ্রগতি
5492,তালা খুলে দরজাটা এখন সামান্য ফাঁক হয়ে আছে
5493,চলো আমরা তাদের মধ্যে কয়েক জনের বিষয়ে শিখি
5494,প্রবেশ পথ
5495,একই বছরের    ডিসেম্বর  হংকং জাপান জাতীয় ফুটবল দলকে পরাজিত করে এবং প্রথমবারের মতো কোন প্রধান প্রতিযোগিতায় হংকং ফুটবল দল জয়ের দেখা পায় এবং তারা এর ফলে প্রথমবারের মতো পূর্ব এশিয়ান গেমস ফুটবলে স্বর্ণপদক জয়লাভ করে
5496,সাদাসিধা
5497,ধারণা  রাষ্ট্র একটি বিমূর্ত ধারণা
5498,ভ্রূণবিদ্যা শাস্ত্রটিকে ওয়েন এই তত্ত্বের প্রবর্তনের সময় উপেক্ষা করেছিলেন  এবং পরবর্তীকালে ভ্রূণবিদ্যার পরীক্ষায় এই তত্ত্বের অধিকাংশই ভ্রান্ত বলে প্রমাণিত হয়
5499,ফেসবুক ব্যবহারকারী ক্যাস্টেলো পেড্রো লিখেন  পর্তুগীজ
5500,তার মানে দাঁড়াবে আমরা চ্যাম্পিয়নশিপ হেরে গেছি
5501,জনগোষ্ঠীর আয়ের প্রধান উৎস কৃষি         অকৃষি শ্রমিক        শিল্প        ব্যবসা         পরিবহণ ও যোগাযোগ        চাকরি        নির্মাণ        ধর্মীয় সেবা        রেন্ট অ্যান্ড রেমিটেন্স       এবং অন্যান্য
5502,গীতসংহিতা       প্রকাশিত বাক্য       একমাত্র তাঁর কাছ থেকে  তাঁর পুত্র যিশু খ্রিস্টের মাধ্যমে মানুষ অনন্তজীবন পেতে পারে
5503,না  তুমিই ঠিক
5504,দ্য রোড ফ্রম কলোনাস
5505,আর্মি নীতি অনুযায়ী ব্যারেকের     গজ দূরে       যুদ্ধের অস্ত্রশস্ত্র রাখা হয়
5506,পুনর্মূল্যায়িত অক্ষয়
5507,জুলাই       সালের  হার ওয়ার্ল্ড সিঙ্গাপুর  সংখ্যার   যা ছিল বিশেষ সংগ্রাহক সংখ্যা  প্রচ্ছদে কোনো নারীমূর্তি ছিল না  ম্যাগাজিনটির অর্ধশতবর্ষের মধ্যে প্রথমবারের মত
5508,নড়বে না আর ঐখানেই দাড়াও
5509,ব্রিটিশ সরকার নওয়াব আলী চৌধুরীকে      সালে  খান বাহাদুর        সালে  নওয়াব        সালে  সি আই ই  এবং      সালে  নওয়াব বাহাদুর  উপাধি প্রদান করে
5510,গান     এবং শেষ প্রার্থনা
5511,তা    আমি
5512,তাহলে  বন্ধুত্ব যখন ঝুঁকির মুখে থাকে  তখন একজন ভালো বন্ধু কীভাবে প্রতিক্রিয়া দেখাবে
5513,এই উপশিরোনামের নীচে একাধিক শাস্ত্রপদ এবং একটা প্রশ্ন রয়েছে  যেগুলো পুনর্সাক্ষাতের সময় আলোচনা করা যেতে পারে
5514,আপনি বুঝতে পারেন যে এই উল্লেখযোগ্য ঘটনাটি মহানন্দের সঙ্গে উদ্যাপন করার মতো
5515,একদম আয়নার মতো ঝকঝকে দেখতে চাই
5516,কি  কেন নয়
5517,দেখ
5518,সাহিত্যে অবদানের স্বীকৃতিস্বরূপ হাসান হাফিজুর রহমান পাকিস্তান লেখক সঙ্ঘ পুরস্কার ও আদমজী পুরস্কার         বাংলা একাডেমী পুরস্কার         সুফী মোতাহার হোসেন স্মৃতি পুরস্কার         অলক্ত সাহিত্য পুরস্কার         সওগাত সাহিত্য পুরস্কার ও নাসিরউদ্দীন স্বর্ণ পদক        এবং একুশে পদক  মরণোত্তর        লাভ করেন
5519,আমরা কি ঘাস খেয়ে বাঁচব  আমি খুব ক্ষুধার্ত
5520,এক মিনিট দাঁড়ান
5521,জাহাজিকরণ টন  মালবাহী টন  পরিমাপ টন বা সামুদ্রিক টন আকৃতিগত পরিমাপের ভিত্তি যা ব্যবহৃত হয় বিশাল মালবাহী গাড়ি  ট্রেন অথবা জাহাজে পণ্য পরিবহনের ক্ষেত্রে  মার্কিন যুক্তরাষ্ট্রে এটাকে    ঘনফিট এবং যুক্তরাজ্যে    ঘনফিটের সমতুল্য ধরা হয়  এটিকে অপর আয়তনের একক টন এর সাথে গুলিয়ে ফেলা উচিত নয়  উদাহরণস্বরূপ অন্যান্য ধরনের টন   যা পরিমাপ ভলিউম  উদাহরণস্বরূপ  জাহাজের ধারণ ক্ষমতা পরিমাপে ব্যবহৃত টন     ঘনফিট          ঘনমিটার  এর সমতুল্য  একটি জাহাজের নিবন্ধন ফি  বন্দর খাজনা  নিরাপত্তা ও আনুসাঙ্গিক প্রযোজ্য নিয়ম জারীর ক্ষেত্রে মূল একক ভিত্তি ধরা হয় এই শিপিং টন বা জাহাজিকরন টনকে
5522,দিলীপ চুপ করে গেল
5523,এই পরিচালনা কমিটি সরাসরি চীনের গণপ্রজাতন্ত্রী রাজ্য পরিষদকে সরাসরি প্রতিবেদন দেয় এবং বিভিন্ন শক্তিশালী রাজনৈতিক সঙ্ঘ নিয়ে গঠিত যা সরকারের নিকট এই কর্মসূচির গুরুত্বের প্রমাণ বহন করে
5524,একজন বাবা অথবা মা হিসেবে  আপনিও দোষী সাব্যস্ত হতে পারেন যদি ফোনটা আপনার নামে থাকে কিংবা আপনি যদি আপনার সন্তানকে সেক্সটিং করা থেকে বিরত করতে না পারেন
5525,এটি প্রশংসনীয় যে  মূল ইব্রীয় থেকে সরাসরি রুশ ভাষায় ইব্রীয় শাস্ত্রাবলী অনুবাদ করার অনুমতি দেওয়া হয়েছিল
5526,ব্যাংকক প্লানকিং সম্প্রদায়ের ফেসবুক পাতা স্থাপন করা হয়েছে  যে পাতাটিতে সাধারণ মানুষেরা অস্বাভাবিক কোন জায়গা থেকে তোলা তাদের প্লানকিং ছবি পোস্ট করতে পারে
5527,উৎসর্গীকরণ ও বাপ্তিস্মের মধ্যে কোন পার্থক্য রয়েছে
5528,সোভিয়েত আমলেও অনেক শিয়া আজারবাইযানে আশুরা চিরাচরিতভাবে পালন করতো
5529,লাইভ        এর চলচ্চিত্র        ডাচ ফিল্ম লাইভ        এর চলচ্চিত্র  আমেরিকান ফিল্ম লাইভ       এর চলচ্চিত্র   জাপানি চলচ্চিত্র
5530,আবু সয়ীদ আইয়ুব      সালে  রবীন্দ্র পুরস্কার        সালে দিল্লির  সাহিত্য আকাদেমি পুরস্কার  এবং      সালে বিশ্বভারতীর  দেশিকোত্তম  উপাধি লাভ করেন
5531,তীমথিয়       তা হলে  যেকোনোভাবেই হোক  আসুন আমরা ক্রমাগত বিশ্বাস দ্বারা চলার ক্ষেত্রে দৃঢ়সংকল্পবদ্ধ হই ও যিহোবার আশীর্বাদের ওপর পূর্ণ আস্থা রাখি
5532,নচ্ছার
5533,অননুতপ্ত মিথ্যাবাদী  ব্যভিচারী  পারদারিক  সমকামী  চোর  অপরাধী  ড্রাগ ব্যবসায়ী এবং সংগঠিত অপরাধীর সদস্যদের কী হবে
5534,পুস্তিকা
5535,ওঁছা লোক
5536,দ্বীপ সভ্যতা  প্রশান্ত মহাসাগরের দক্ষিণ পশ্চিম থেকে শুরু করে হাওয়াই থেকে নিউজিল্যান্ড পর্যন্ত সবগুলো দ্বীপ নিয়ে
5537,যেমন আমরা কখনোই নিশ্চিত হতে পারি না
5538,হয়ত তার নিজের মেয়ের
5539,কিন্তু দেবতাই তোমাকে মাউই বানিয়েছে
5540,কঠিন
5541,শুধুমাত্র নামবিহীন নথি
5542,যিরমিয়        কিন্তু সা কা  প্রথম শতাব্দীর মধ্যে সেই জাতি আবারও মহান কুম্ভকারকে ছেড়ে শেষ পর্যন্ত এতটা নিচে নেমেছিল যে তারা ঈশ্বরের নিজ পুত্রকে হত্যা করেছিল
5543,আর্চি  কান্না বন্ধ করো
5544,আল ফুরকান  নামের অর্থ পার্থক্যকারী  সত্য ও মিথ্যার  আলো ও অন্ধকারে এবং ন্যায় ও অন্যায়ের পার্থক্যকারী
5545,হিতোপদেশ        বাংলা কমন ল্যাঙ্গুয়েজ ভারসন  অন্যদিকে   অলস  ব্যক্তি তার নিয়োগকর্তার কাছে বিরক্তিকর  ঠিক যেন তার  চক্ষের পক্ষে ধূম
5546,সেটা হবে একটা যথোপযুক্ত সমাপ্তি
5547,নুনআরাবিয়াঃ জঘন্য
5548,পুরুষমানুষ
5549,বলতে চাচ্ছেন গরিষ্ঠতা আসলে
5550,উল্লেখ্য  যারা ভোট তালিকায় নাম লেখাবেন না  তারা ভোট দিতে পারবেন না
5551,ইউনিয়ন
5552,যেহেতু  এই সমাবেশটি প্রাথমিকভাবে গত মাইক্রোগ্রান্ট আবেদনকারীদের লক্ষ করে আয়োজন করা হয়েছে  সেহেতু এই গ্রুপকেই প্রাথম দিকে আমন্ত্রণ পাঠানো হয়েছিল এবং সবগুলো আসনই পূর্ণ হয়ে গেছে
5553,দোকানদার এই মিষ্টি সম্বন্ধে ব্যাখ্যা করছে  কিভাবে এই খাবার বানানো হয় এবং এর মধ্যে কি কি থাকে   সে নীচু স্বরে তার এক পুত্রকে আরবীতে দ্রুত কিছু বলল
5554,মেক্সিকোর ওক্সাকা রাজ্যে  একজন সীমা অধ্যক্ষ এমন প্রচেষ্টা করেছিলেন যা প্রকৃতপক্ষেই তার কাছ থেকে আশা করা হয়নি
5555,একজন বন্ধুর কাছ থেকে অথবা অন্যান্য উৎস থেকে ঋণ নেওয়া সম্বন্ধে আপনিও কি এইরকম অনুভব করেন
5556,ও ওর রুমালটা পরিপাটি করে ভাঁজ করলো
5557,একটি স্কীমা সেট করুন এবং সিঙ্ক করুন  এবং এর সাথে ব্যবহার করুন
5558,ডিভিডি
5559,এখন পর্যন্ত চীনা সরকার সরকারি ভাবে স্পষ্ট করে নি  কেন তারা ফেংকে স্বদেশে প্রবেশ করতে দিচ্ছে না
5560,আমাদের ক্ষেত্রেও  আমরা যে বিশ্বাস দেখাই তা কেবল আমাদের জন্যই নয় কিন্তু আমাদের সন্তান ও আমাদের চতুর্দিকের অন্যান্য লোকেদের জন্য ভবিষ্যতে যা রয়েছে  তার উপর এক গভীর প্রভাব বিস্তার করতে পারে
5561,শক্তিসামর্থ্য
5562,সিংহের খাতে নিক্ষিপ্ত হবার বহু পূর্বেই দানিয়েল অবিরত সেবা করার আদর্শ গড়ে তুলেছিলেন
5563,অবশ্য  ব্যবহূত হলে তিন পর্যায়ে করা হয়  জমি প্রস্ত্ততের সময় একবার এবং যথাসময়ে টপড্রেসিং হিসেবে দু বার
5564,এই সন্ধিতে ডুরান্ড লাইনের অপর পাশে ব্রিটিশ অঞ্চলে থাকা স্বাধীন আফগান গোষ্ঠীগুলোর সাথে আফগানিস্তানের সম্পর্ক হ্রাসের কথা বলা হয়
5565,প্রতিক্রিয়াশীল সমাজতান্ত্রিক দল জাসদ এর একটি বিদ্রোহ ছিল  পাশাপাশি বাণিজ্যগোষ্ঠী এবং রক্ষণশীল শক্তিবর্গের একটি আন্দোলন ছিল  যারা মনে করত আওয়ামী লীগ সমগ্র মুক্তি আন্দোলনের মুনাফা একচেটিয়াভাবে গ্রহণ করে
5566,রূপরেখা
5567,মার্লিয়ন প্রাক্তন মার্লিয়ন পার্ক
5568,গুজরাটি ভাষার টেলিভিশন চ্যানেলের তালিকা
5569,ফটক পেরোতে না পেরোতেই দেখলাম এগিয়ে আসছেন মিস্টার অ্যামবার্লি
5570,আমি রুপকথায় বিশ্বাস করি না
5571,সত্যিই অতি চমৎকার আর কোনো কেসে এত আশ্চর্য আর অদ্ভুত বৈশিষ্ট্য আমি দেখিনি
5572,রোমীয়দের কাছে লেখা তার চিঠিতে প্রেরিত পৌল প্রশ্ন তুলেছিলেন   ঈশ্বরে কি অন্যায় আছে
5573,ত্তলকপি
5574,সেপ্টেম্বর
5575,পুষা
5576,হয়েছে
5577,ইউএসটিসি এর সংগ্রহ খুব সমৃদ্ধ
5578,আপনি যদি ভবিষ্যতে একজন প্রাচীন হিসেবে সেবা করতে চান  তাহলে কঠোর পরিশ্রম করুন এবং পবিত্র সেবার সমস্ত দিকে নির্ভরযোগ্য হোন
5579,উল্লেখযোগ্য অনাথ
5580,কিন্তু  তাদেরকে এমন এক জীবনধারা গ্রহণ করার ব্যাপারে উৎসাহিত করার মধ্যে বিপদ রয়েছে  যা সত্য উপাসনার পরিবর্তে শিক্ষা এবং অর্থনৈতিক নিরাপত্তার ওপর কেন্দ্রীভূত
5581,সবসময় বালের ফোনটা কানে থাকে
5582,দেশে উৎপন্ন মোট দানাশস্যের প্রায়     ধান
5583,এর উদ্দেশ্য  কবিদের মাধ্যমে আমাদের এটা আবিস্কার করার যে আমরা যে শহরে পরিভ্রমণ করছি  সেখানে কি ধরনের বিষয় তৈরী হয়
5584,দোষারোপ
5585,নীরব হওয়া
5586,এই সংকল্পের পুরো বিষয়বস্তুর জন্য যিহোবার সাক্ষিদের বর্ষপুস্তক       ইংরেজি  বইয়ের       পৃষ্ঠা দেখুন
5587,খনিজ বালি উপকূলীয় তটরেখায় এবং উপকূলবর্তী দ্বীপসমূহে খনিজ বালির মজুতের সন্ধান পাওয়া গিয়েছে
5588,গড়বেতা ইস্ট
5589,আমাদের দীর্ঘতম নমুনা
5590,এই সপ্তাহের বাইবেল পাঠের কোন বিষয়গুলো আমি ক্ষেত্রের পরিচর্যায় ব্যবহার করতে পারি
5591,স্যরি  অসংলগ্ন কথাবার্তা বলে ফেললাম
5592,পূর্ব ইভান স্ট্রিট
5593,অপ্রধান ফসল দেশের গড় শস্য উৎপাদন এলাকার এক শতাংশের কম জমিতে উৎপন্ন শস্যাদি
5594,লক্ষণা
5595,অর্ধাবৃত
5596,অঙ্গব্যবচ্ছেদ করা
5597,আমরা যে সার্টিফিকেট ফাইল ব্যবহার করব তা খুঁজে পাওয়া যায়নি  সকল সাইট অচল সার্টিফিকেট সম্বলিত হিসেবে বিবেচনা করা হবে
5598,সদাপ্রভু হইতে অগ্নি নির্গত হইয়া যাহারা ধূপ নিবেদন করিয়াছিল  সেই দুই শত পঞ্চাশ জন লোককে গ্রাস করিল    গণনাপুস্তক
5599,ফরাসি প্রত্নতত্ত্ববিদদের আবাস ভবন  বগুড়া
5600,অহংবুদ্ধি
5601,এজন্যে আমরা সারা পৃথিবীর কাছে  আমাদের নিজেদের কাছে ক্ষমা চেয়েছি
5602,মেক্সিকোর সিন্ডি বলেন   আমার স্বামী সবসময় আমার সন্তানদের সঙ্গে প্রার্থনা করতেন
5603,রোগ প্রতিরোধ ক্ষমতার অভাবের কারণে শিশুদের মাঝে এ রোগের প্রাদুর্ভাব বেশি  ঢাকা শিশু হাসপাতাল তাই যৌথভাবে আইসিডিডিআর বি এর সাথে আমাশয় ও অন্যান্য ডাইরিয়া রোগ প্রতিরোধে কাজ করে যাচ্ছে
5604,বস্তু বা দল
5605,মশীহ রাজ্যের বিষয়ে  শুভ  কিছু পরিপূর্ণ হওয়ার জন্য অপেক্ষা করার সময় আমরা কি  তাঁহার নাম স্মরণ করাইতে  অনুপ্রাণিত হই না
5606,হস্তগত
5607,সাংবাদিককে ফিনল্যান্ডে বিশ্ব সংবাদপত্র স্বাধীনতা দিবসে যোগদানে থাইল্যান্ডের নিষেধাজ্ঞা
5608,আমি কোন হুমকি কখনো পাইনি
5609,আরেকজন পাঠক      বনাম তেনি  দেশটির মানবাধিকার পরিস্থিতির উন্নয়নে পশ্চিমী দেশগুলোর অনেকটা দায়সারা প্রচেষ্টা নিয়ে বিলাপ করেছেন  রুশ ভাষায়
5610,প্রশ্ন  এখানে কি তোমার প্রেমিক আছে
